"id","user_id","matches","potential_matches","last_matched_at"
"42","625",9,77,"2019-06-27 14:36:43.456816"
"85","643",0,2,NULL
"68","599",8,77,"2019-06-27 14:37:11.379717"
"34","677",4,75,"2019-06-27 14:36:59.06921"
"57","644",0,77,NULL
"5","648",9,80,"2019-06-27 14:37:28.095227"
"82","597",0,77,NULL
"52","647",1,77,"2019-06-27 14:37:18.298653"
"54","688",0,77,NULL
"23","617",2,77,"2019-06-27 14:37:32.018752"
"35","692",3,77,"2019-06-27 14:36:59.944431"
"76","632",0,77,NULL
"55","601",1,73,"2019-06-27 14:36:02.083505"
"66","627",2,77,"2019-06-27 14:37:33.656964"
"11","616",2,77,"2019-06-27 14:36:54.347335"
"8","649",2,73,"2019-06-27 14:36:45.103967"
"71","646",0,77,NULL
"58","638",0,77,NULL
"1","553",0,8,NULL
"31","675",1,73,"2019-06-27 14:36:05.830985"
"51","622",5,77,"2019-06-27 14:37:06.890624"
"65","641",5,77,"2019-06-27 14:37:30.793989"
"45","685",1,77,"2019-06-27 14:36:31.283038"
"81","605",12,77,"2019-06-27 14:37:35.217955"
"14","663",1,77,"2019-06-27 14:37:25.738485"
"73","665",0,77,NULL
"62","668",1,73,"2019-06-27 14:36:21.593519"
"50","618",5,77,"2019-06-27 14:37:24.87483"
"44","672",0,75,NULL
"48","667",0,70,NULL
"83","660",0,2,NULL
"19","636",1,77,"2019-06-27 14:37:08.821189"
"12","620",1,77,"2019-06-27 14:36:42.181972"
"60","666",0,77,NULL
"33","633",5,77,"2019-06-27 14:37:26.942228"
"56","645",9,77,"2019-06-27 14:37:30.793989"
"26","669",0,77,NULL
"17","611",3,77,"2019-06-27 14:36:24.833795"
"70","621",9,77,"2019-06-27 14:37:32.018752"
"53","609",17,73,"2019-06-27 14:37:29.458068"
"74","629",0,77,NULL
"43","676",4,77,"2019-06-27 14:37:36.046376"
"79","671",0,77,NULL
"24","653",2,77,"2019-06-27 14:37:36.046376"
"67","690",0,77,NULL
"69","606",0,77,NULL
"84","651",0,2,NULL
"7","637",1,75,"2019-06-27 14:36:52.176714"
"72","600",2,77,"2019-06-27 14:37:22.792891"
"6","650",2,76,"2019-06-27 14:36:52.176714"
"16","681",0,77,NULL
"63","661",8,77,"2019-06-27 14:37:26.942228"
"39","608",0,77,NULL
"37","662",2,77,"2019-06-27 14:37:33.656964"
"28","631",0,77,NULL
"25","602",0,74,NULL
"78","640",1,77,"2019-06-27 14:36:07.544264"
"64","682",0,77,NULL
"9","657",1,67,"2019-06-27 14:37:28.095227"
"20","607",0,77,NULL
"10","639",0,73,NULL
"15","615",2,69,"2019-06-27 14:37:10.037383"
"30","626",0,77,NULL
"18","634",0,77,NULL
"40","610",0,77,NULL
"59","654",3,77,"2019-06-27 14:36:40.306651"
"21","619",0,77,NULL
"38","673",0,77,NULL
"13","678",1,77,"2019-06-27 14:37:35.217955"
"27","630",0,77,NULL
"41","694",1,77,"2019-06-27 14:36:31.283038"
"46","687",0,66,NULL
"29","628",1,77,"2019-06-27 14:36:08.635393"
"61","695",0,77,NULL
"80","691",5,77,"2019-06-27 14:37:12.621915"
"32","624",0,77,NULL
"77","613",0,77,NULL
"49","642",3,69,"2019-06-27 14:37:10.037383"
"22","686",0,77,NULL
"75","693",0,77,NULL
"36","679",4,80,"2019-06-27 14:37:25.738485"
"47","664",0,77,NULL
